,rank,title,year,link
58,59,Paths of Glory,1957,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
59,60,Sunset Blvd,1950,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
60,61,WALL·E,2008,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
61,62,Avengers: Infinity War,2018,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
62,63,Witness for the Prosecution,1957,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
63,64,The Shining,1980,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
64,65,Spider-Man: Into the Spider-Verse,2018,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
65,66,Dr,1964,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
66,67,Princess Mononoke,1997,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
67,68,Joker,2019,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
68,69,Oldboy,2003,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
69,70,Your Name,2016,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
70,71,The Dark Knight Rises,2012,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
71,72,Coco,2017,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
72,73,Aliens,1986,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
73,74,Once Upon a Time in America,1984,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
74,75,Avengers: Endgame,2019,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
75,76,Capernaum,2018,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
76,77,Das Boot,1981,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
77,78,High and Low,1963,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
78,79,American Beauty,1999,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
79,80,Toy Story,1995,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
80,81,3 Idiots,2009,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
81,82,Amadeus,1984,/title/tt10189514/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2f80ce0f-cde7-404b-a728-2edf16584db1&pf_rd_r=TPQ3B1FNQFA5M2BGEGD3&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_250
